full_date,date_key,year,quarter,month,day,day_of_week
2020-01-01,20200101,2020,1,1,1,Wednesday
2020-01-02,20200102,2020,1,1,2,Thursday
2020-01-09,20200109,2020,1,1,9,Thursday
2020-01-10,20200110,2020,1,1,10,Friday
2020-01-12,20200112,2020,1,1,12,Sunday
2020-01-14,20200114,2020,1,1,14,Tuesday
2020-01-16,20200116,2020,1,1,16,Thursday
2020-01-18,20200118,2020,1,1,18,Saturday
2020-01-21,20200121,2020,1,1,21,Tuesday
2020-01-29,20200129,2020,1,1,29,Wednesday
2020-01-30,20200130,2020,1,1,30,Thursday
2020-02-02,20200202,2020,1,2,2,Sunday
2020-02-06,20200206,2020,1,2,6,Thursday
2020-02-08,20200208,2020,1,2,8,Saturday
2020-02-11,20200211,2020,1,2,11,Tuesday
2020-02-13,20200213,2020,1,2,13,Thursday
2020-02-14,20200214,2020,1,2,14,Friday
2020-02-15,20200215,2020,1,2,15,Saturday
2020-02-20,20200220,2020,1,2,20,Thursday
2020-02-21,20200221,2020,1,2,21,Friday
2020-02-22,20200222,2020,1,2,22,Saturday
2020-02-25,20200225,2020,1,2,25,Tuesday
2020-03-01,20200301,2020,1,3,1,Sunday
2020-03-04,20200304,2020,1,3,4,Wednesday
2020-03-07,20200307,2020,1,3,7,Saturday
2020-03-09,20200309,2020,1,3,9,Monday
2020-03-11,20200311,2020,1,3,11,Wednesday
2020-03-12,20200312,2020,1,3,12,Thursday
2020-03-14,20200314,2020,1,3,14,Saturday
2020-03-16,20200316,2020,1,3,16,Monday
2020-03-18,20200318,2020,1,3,18,Wednesday
2020-03-21,20200321,2020,1,3,21,Saturday
2020-03-23,20200323,2020,1,3,23,Monday
2020-03-25,20200325,2020,1,3,25,Wednesday
2020-03-27,20200327,2020,1,3,27,Friday
2020-03-28,20200328,2020,1,3,28,Saturday
2020-03-30,20200330,2020,1,3,30,Monday
2020-04-01,20200401,2020,2,4,1,Wednesday
2020-04-03,20200403,2020,2,4,3,Friday
2020-04-08,20200408,2020,2,4,8,Wednesday
